steps	episodes	elapsed	mean	median	stdev	max	min	average_value	average_entropy	average_value_loss	average_policy_loss	n_updates	explained_variance
8502	654	7271.911769151688	2.222414744459907	2.155411444311328	0.15260232500230062	2.3991622776910577	2.0646393650024932	0.743489	1.462741	0.19045322425663472	0.025820001494139433	5355	0.5873250910647839
8606	662	7359.2931180000305	2.2488623195175275	2.2691201220540487	0.14942604478961916	2.3762876284880337	1.9999164687351283	0.741896	1.4618765	0.19256070502102374	0.011900466829538346	5418	0.5347838514078542
8710	670	7445.846778869629	1.9637920525451382	2.071787975357345	0.44410214121431396	2.3202318796733925	1.2220231437079576	0.755259	1.4610864	0.1990175274759531	0.029757830910384656	5481	0.561540014740882
8801	677	7525.356785535812	2.2967641677996404	2.2858196667436923	0.07715546180881483	2.4257309860713536	2.2219794020545804	0.7582698	1.4604433	0.22021627567708493	-0.01179953658953309	5544	0.3223771456993644
8905	685	7613.287200927734	2.322002704431984	2.347137415058234	0.07911035745582905	2.421675576943692	2.2278027683141954	0.76734656	1.4594779	0.20161725230515004	-0.016984431575983762	5607	0.5150895442089882
9009	693	7700.745835065842	1.9801903056418444	2.138897218904542	0.468628455957718	2.4497260759395165	1.2221907852111509	0.7702689	1.4585124	0.18624772496521472	0.02551552377641201	5670	0.5437850671660782
9100	700	7780.741164445877	2.015671493352078	1.9859133545078251	0.23191682481420986	2.3395851490818536	1.7052175065071833	0.7752993	1.4575601	0.1589870833232999	0.012902353052049875	5733	0.5871667937925718
9204	708	7866.709358930588	2.0601746053891876	2.097745418088822	0.33944407150844536	2.3847230724927764	1.5173267617701485	0.7670272	1.4567412	0.1743395385891199	0.021421504225581884	5796	0.5995115808285147
9308	716	7954.335493564606	2.334724170133143	2.349091953356273	0.052751975520980016	2.3892153597543944	2.2477170330798644	0.76209414	1.455783	0.1901717482507229	0.03819910924881697	5859	0.584247675290603
9412	724	8040.601912975311	2.063923594564559	2.1866705173984395	0.22946105235553177	2.2617119537803867	1.7224794004784998	0.75334585	1.454969	0.19840895287692548	0.01772603526711464	5922	0.6842008633780454
9503	731	8120.598622083664	2.2262662389302297	2.209616948774148	0.18812037282006977	2.429146393146689	1.9376671994935397	0.75001603	1.4542938	0.22026515111327172	0.02358654184266925	5985	0.5812837876347237
9607	739	8204.253122091293	2.1596379604531704	2.3159498824723554	0.31966154529051194	2.3723949908588677	1.606305926743344	0.754489	1.4536899	0.2359691758453846	0.027434714660048484	6048	0.29387111701481394
9711	747	8289.468443393707	1.8796557836400638	2.0499544245157946	0.5880901674359407	2.3609739523986444	0.8588738835178316	0.7540712	1.4530239	0.2250691260397434	0.020433655604720116	6111	0.47755894108067165
9802	754	8368.231776237488	2.045697315113072	2.286134906104232	0.5804462855470991	2.421274574157174	1.024184146566391	0.74248093	1.4523249	0.1919272592663765	0.04665490861982107	6174	0.5746837836230538
9906	762	8453.285984277725	2.045043258696685	2.221550795798684	0.35080286564089047	2.326851420914339	1.4704645042845992	0.74414915	1.4516844	0.19416931547224522	0.037354392856359483	6237	0.6270492101229426
10010	770	8534.346506595612	1.6328166779366802	1.813979392055494	0.4275925676866216	2.065397502347625	1.0138683162623412	0.75383914	1.4511647	0.18853568382561206	0.013353028018027544	6300	0.4077632363070114
10101	777	8600.609896421432	0.06955651316139852	0.0691225320817728	0.0036319466216585983	0.07392234330278695	0.06489504392339243	0.7534407	1.450726	0.18587290838360787	0.016984302438795566	6363	0.2516676883808635
